AC#,Artist,Title,Date,Medium,Dimensions,Category,,,,,
100030,"ARTIST UNKNOWN,",Oriental Rug [small],n.d.,furniture,"198 x 129.5 cm / 78"" x 51""",furnishings,,,,,
100099,"ARTIST UNKNOWN,",Oval Mantle Clock [Victorian French],c. 1890-1900,wood,n/a,furnishings,,,,,
661778,"ARTIST UNKNOWN,",Plant Stand [Edwardian],c. 1900,wood,"97 cm / 38 3/16"" high",furnishings,,,,,
633137,"ARTIST UNKNOWN,",Plaque to Marilyn Bell [maquette],n.d.,mixed media,"84 x 33 x 26 cm / 33"" x 13"" x 10 1/4""",mixed media,,,,,
100034,"ARTIST UNKNOWN,",Plate [Chorley Park],n.d.,ceramics,n/a,ceramic,,,,,
637416,"ARTIST UNKNOWN,","Portrait [gentleman in a black coat and cravat, George Mackenzie (?) Brown]",c. 1900,oil on canvas,"66.5 x 56 cm / 26 1/4"" x 22""",painting,,,,,
637417,"ARTIST UNKNOWN,",Portrait [seated lady in black dress; Margaret Nelson or Catherine Edithe (?) Brown],c. 1900,oil on canvas,"86 x 71 cm / 34 1/2"" x 28 1/4""",painting,,,,,
100478,"ARTIST UNKNOWN,",Portrait of Sir George Arthur [1784-1854],n.d.,mixed media,"10.3 cm / 4 1/8"" dia.",mixed media,,,,,
100043,"ARTIST UNKNOWN,",Punch Bowl and Stand [probably American],c. 1900,glass,"19 x 40 cm / 7 1/2"" x 15 3/4"" dia.",furnishings,,,,,
100093,"ARTIST UNKNOWN,",Robert Dennistoun,n.d.,oil on canvas,"76.2 x 63.5 cm / 30"" x 25""",portrait,,,,,
100189,"ARTIST UNKNOWN,",Royal Coat of Arms,n.d.,metal,"21 x 29 x 4 cm / 8 1/4"" x 11 3/8"" x 1 5/8""",furnishings,,,,,
622099,"ARTIST UNKNOWN,",Royal Coat of Arms [King William IV; reigned 1830-34],n.d.,oil on canvas,"142.2 x 152.4 cm / 56"" x 60""",painting,,,,,
